# Table S2. List of the probable timing errors,,,,,,,,,,
# Station code,Pair ID,CC,dt residual (s),dt measurement (s),Correction for instrument change (s),Prediction from relative relocation (s),"""Timing quality"" of the earlier event","""Timing quality"" of the later event","""GSN timing"" of the earlier event","""GSN timing"" of the later event"
CI.GSC,1997128_2011122,0.965,0.0869,1.786,0,1.6991,N/A,N/A,N/A,N/A
CI.GSC,1997170_2007265,0.904,0.0840,-2.535,0,-2.6190,N/A,N/A,N/A,N/A
CI.GSC,1997170_2014260,0.920,0.0683,-0.960,0,-1.0283,N/A,N/A,N/A,N/A
CI.GSC,1997190_2014132,0.914,0.0712,-0.357,0,-0.4282,N/A,N/A,N/A,N/A
CI.GSC,2004361_2005044,0.909,-0.0315,-0.258,0,-0.2265,N/A,N/A,N/A,N/A
CI.HEC,2011141_2017050,0.903,-0.0358,-1.597,0,-1.5612,N/A,99.9385,N/A,N/A
CI.IRM,2006213_2014096,0.944,0.0347,3.694,0,3.6593,N/A,N/A,N/A,N/A
CI.IRM,2011141_2017050,0.942,-0.0346,-1.596,0,-1.5614,N/A,99.826,N/A,N/A
CI.ISA,1994215_2013295,0.966,0.1024,-0.727,0,-0.8294,N/A,N/A,N/A,N/A
CI.ISA,2004247_2009065,0.971,-0.0319,0.988,0,1.0199,N/A,N/A,N/A,N/A
CI.LRL,2005044_2006259,0.913,-0.0362,-0.491,0,-0.4548,N/A,N/A,N/A,N/A
CI.LRL,2005044_2010273,0.914,-0.0325,-0.791,0,-0.7585,N/A,N/A,N/A,N/A
CI.MPM,2000157_2006075,0.914,0.0403,0.295,0,0.2547,79.3045,N/A,N/A,N/A
CI.MPP,2009054_2016245,0.942,0.0316,-0.822,0,-0.8536,N/A,99.8905,N/A,N/A
CI.MPP,2011289_2015290,0.900,0.0352,3.713,0,3.6778,N/A,99.8611,N/A,N/A
CI.MWC,1997268_2016078,0.927,-0.0908,-2.055,0,-1.9642,89.92,99.9329,N/A,N/A
CI.PDM,2006130_2007106,0.902,-0.0316,4.112,0,4.1436,N/A,N/A,N/A,N/A
CI.PHL,1998172_2009186,0.922,0.0322,-1.648,0,-1.6802,89.1936,N/A,N/A,N/A
CI.PHL,1999213_2009111,0.967,0.0320,-2.159,0,-2.1910,87.3361,N/A,N/A,N/A
CI.PHL,2000338_2013111,0.968,0.0960,-1.050,0,-1.1460,N/A,N/A,N/A,N/A
CI.PHL,2001033_2013165,0.935,0.1252,0.895,0,0.7698,N/A,N/A,N/A,N/A
CI.PHL,2001134_2012237,0.962,0.0781,1.762,0,1.6839,N/A,N/A,N/A,N/A
CI.PHL,2002006_2011260,0.934,0.0586,-3.900,0,-3.9586,N/A,N/A,N/A,N/A
CI.PLM,1997264_2008231,0.976,-0.0969,-2.199,0,-2.1021,90.2866,N/A,N/A,N/A
CI.SLA,2005120_2016353,0.924,0.0302,3.122,0,3.0918,N/A,99.8941,N/A,N/A
CI.SLA,2006109_2017186,0.947,0.0323,-3.852,0,-3.8843,N/A,99.9839,N/A,N/A
CI.SVD,2000286_2011315,0.929,0.0386,1.636,0,1.5974,86.5279,N/A,N/A,N/A
CI.SWS,2010070_2011206,0.911,-0.0361,0.809,0,0.8451,N/A,N/A,N/A,N/A
CI.TIN,1997268_2016078,0.903,-0.0723,-2.036,0,-1.9637,87.8881,99.1682,N/A,N/A
CI.TUQ,2004143_2009192,0.938,0.1656,0.025,0,-0.1406,N/A,N/A,N/A,N/A
CI.TUQ,2005069_2009186,0.918,0.1273,0.621,0,0.4937,N/A,N/A,N/A,N/A
CI.TUQ,2005204_2015203,0.942,0.0447,2.690,-0.005,2.6503,N/A,99.9571,N/A,N/A
CI.TUQ,2006130_2007106,0.906,-0.0340,4.110,0,4.1440,N/A,N/A,N/A,N/A
CI.TUQ,2009192_2012169,0.942,-0.1636,3.329,0,3.4926,N/A,N/A,N/A,N/A
CI.VES,2007087_2016287,0.961,0.0334,-0.577,0,-0.6104,N/A,99.8843,N/A,N/A
CI.VES,2010078_2015198,0.925,-0.3969,-3.194,0,-2.7971,N/A,99.9328,N/A,N/A
CN.DRLN,1997098_2014171,0.967,0.5331,2.148,0,1.6149,N/A,N/A,N/A,N/A
CN.DRLN,1997128_2011122,0.952,9.9326,11.637,0,1.7044,N/A,N/A,N/A,N/A
CN.DRLN,1997264_2008231,0.911,10.0046,7.908,0,-2.0966,N/A,N/A,N/A,N/A
CN.EUNU,2011141_2017050,0.969,-0.6404,-2.203,0,-1.5626,N/A,N/A,N/A,N/A
CN.EUNU,2012157_2017017,0.988,-0.1738,1.839,0,2.0128,N/A,N/A,N/A,N/A
CN.FRB,1994191_2010155,0.935,-1.0067,-1.736,0,-0.7293,N/A,N/A,N/A,N/A
CN.FRB,1996123_2008070,0.944,-2.0222,-5.767,0,-3.7448,N/A,N/A,N/A,N/A
CN.FRB,2003137_2011141,0.967,-5.8843,-6.001,0,-0.1167,N/A,N/A,N/A,N/A
CN.FRB,2011141_2017050,0.979,5.8847,4.321,0,-1.5637,N/A,N/A,N/A,N/A
CN.GAC,1994215_2013295,0.917,-0.9789,-1.809,0,-0.8301,N/A,N/A,N/A,N/A
CN.GAC,1997098_2014171,0.960,0.8001,2.418,0,1.6179,N/A,N/A,N/A,N/A
CN.GAC,1997264_2017126,0.965,2.0091,0.359,0,-1.6501,N/A,N/A,N/A,N/A
CN.INK,1996123_2008070,0.957,-0.9932,-4.734,0,-3.7408,N/A,N/A,N/A,N/A
CN.INK,2000278_2006013,0.915,0.0444,2.219,0,2.1746,N/A,N/A,N/A,N/A
CN.LLLB,2000050_2010054,0.986,0.1213,-1.898,0,-2.0193,N/A,N/A,N/A,N/A
CN.LLLB,2000055_2002233,0.933,0.1531,2.086,0,1.9329,N/A,N/A,N/A,N/A
CN.MBC,1994113_1995008,0.971,-1.0010,-0.894,0,0.1070,N/A,N/A,N/A,N/A
CN.RES,2000050_2010054,0.983,0.0489,-1.972,0,-2.0210,N/A,N/A,N/A,N/A
CN.RES,2000081_2008173,0.904,-0.0421,-2.636,0,-2.5939,N/A,N/A,N/A,N/A
CN.SCHQ,1996276_2010227,0.974,-0.9979,-3.569,0,-2.5711,N/A,N/A,N/A,N/A
CN.SCHQ,1997098_2014171,0.987,-0.9998,0.615,0,1.6148,N/A,N/A,N/A,N/A
CN.SCHQ,1997128_2011122,0.952,-0.9858,0.717,0,1.7028,N/A,N/A,N/A,N/A
CN.SCHQ,1997190_2014132,0.929,-0.9941,-1.429,0,-0.4349,N/A,N/A,N/A,N/A
CN.SCHQ,1997252_2007265,0.971,-0.9933,-2.884,0,-1.8907,N/A,N/A,N/A,N/A
CN.SCHQ,1997264_2008231,0.993,-0.9887,-3.085,0,-2.0963,N/A,N/A,N/A,N/A
CN.SCHQ,1997264_2017126,0.980,-0.9883,-2.640,0,-1.6517,N/A,N/A,N/A,N/A
CN.ULM,2006214_2013119,0.903,0.0320,-0.522,0,-0.5540,N/A,N/A,N/A,N/A
CN.ULM,2008019_2011238,0.934,-0.7037,-0.581,0,0.1227,N/A,N/A,N/A,N/A
CN.WHY,2004254_2010014,0.964,0.0300,-0.715,0,-0.7450,N/A,N/A,N/A,N/A
CN.YKAW3,2014039_2015135,0.935,-0.1236,1.808,0,1.9316,N/A,N/A,N/A,N/A
CZ.DPC,1993044_2015113,0.994,0.3581,-0.805,0,-1.1631,N/A,N/A,N/A,N/A
CZ.DPC,1993096_2001254,0.974,0.3333,2.055,0,1.7217,N/A,99.5727,N/A,N/A
CZ.DPC,1994304_2000278,0.956,-0.0425,-0.268,0,-0.2255,N/A,98.6842,N/A,N/A
